len,pattern
145,hstair
224,stair
90,shbwstair
82,shstair
89,hstair
87,ebwstair
156,joe
51,ebwstair
127,jak
206,noa
225,noa
128,mat
178,jak
190,jak
180,hstair
34,shbwstair
41,hang
152,bwstair
41,joe
197,jan
173,mat
86,stair
46,jak
45,mat
108,hstair
72,hstair
110,bil
76,stair
193,stair
125,noa
47,jan
171,shstair
213,shstair
122,estair
155,mat
44,jak
46,stair
173,jan
169,ebwstair
111,hstair
32,shstair
105,bwstair
82,jan
120,estair
183,shstair
181,noa
201,hstair
234,jan
211,hbwstair
39,noa
114,hbwstair
41,shstair
95,hang
225,test-1-nps
78,hang
139,shbwstair
40,stair
76,hang
56,joe
91,jak
224,joe
228,bil
219,hang
67,shbwstair
39,test-1-nps
134,ebwstair
203,jan
134,joe
178,hbwstair
145,hbwstair
45,ebwstair
170,hstair
42,bwstair
156,hstair
115,shstair
214,stair
105,jak
35,bwstair
58,estair
183,estair
175,bil
174,joe
84,bwstair
180,stair
97,shbwstair
103,hbwstair
53,noa
98,noa
32,estair
216,test-1-nps
92,hbwstair
77,hbwstair
227,shbwstair
140,estair
202,ebwstair
202,stair
222,stair
224,estair
62,jak
177,hstair
125,bil
182,ebwstair
123,ebwstair
38,ebwstair
132,hstair
108,bil
209,bil
210,mat
183,jan
161,mat
157,noa
130,jak
129,hang
103,estair
225,estair
92,test-1-nps
100,jan
37,stair
60,hbwstair
105,shstair
82,hbwstair
212,ebwstair
154,noa
231,bwstair
41,estair
124,noa
74,noa
103,noa
33,shbwstair
57,shbwstair
55,stair
98,stair
156,hbwstair
175,bil
220,shstair
120,bwstair
222,stair
160,hbwstair
153,shbwstair
181,bwstair
172,estair
105,hbwstair
223,hbwstair
218,noa
156,shstair
140,shstair
221,joe
109,jan
97,shbwstair
103,shbwstair
80,test-1-nps
219,hbwstair
99,bwstair
236,jan
106,estair
131,shstair
139,stair
165,hstair
212,jak
122,hstair
51,joe
190,joe
191,bil
100,jak
45,jan
163,hang
56,hang
81,test-1-nps
165,test-1-nps
76,test-1-nps
31,mat
211,noa
64,hang
62,bil
35,noa
88,ebwstair
72,bwstair
169,hstair
121,hstair
156,jan
88,bil
160,estair
72,estair
147,hbwstair
84,shstair
227,shbwstair
35,bwstair
189,mat
63,noa
166,hstair
120,mat
218,test-1-nps
83,mat
105,joe
193,mat
139,jak
47,hstair
65,jak
104,hstair
155,bwstair
155,hang
37,joe
56,jak
171,estair
172,bil
137,noa
181,hang
126,hstair
137,shstair
76,joe
105,hbwstair
155,hang
220,hbwstair
199,ebwstair
223,jak
232,stair
99,noa
62,shstair
216,hstair
167,shstair
224,mat
185,jak
61,bil
144,shstair
118,test-1-nps
64,shbwstair
180,bwstair
228,shbwstair
118,stair
230,hstair
122,stair
88,noa
194,joe
97,ebwstair
228,joe
150,hstair
217,hstair
199,shstair
144,test-1-nps
91,shstair
31,ebwstair
159,noa
61,mat
121,bwstair
127,shbwstair
212,ebwstair
54,jak
152,jak
238,joe
86,jak
111,joe
141,joe
49,joe
163,hang
51,joe
208,jak
56,ebwstair
69,estair
77,ebwstair
203,bwstair
138,bil
122,ebwstair
122,stair
174,estair
144,hbwstair
100,shstair
57,mat
45,mat
226,shstair
123,stair
170,bil
142,bwstair
65,estair
236,shbwstair
143,bil
100,stair
215,hstair
82,stair
125,jan
192,estair
110,jak
122,ebwstair
172,shstair
108,test-1-nps
201,stair
35,hang
135,stair
216,hbwstair
32,hbwstair
161,stair
230,hbwstair
103,test-1-nps
139,hang
129,hbwstair
176,shstair
227,stair
36,shbwstair
229,hbwstair
218,jak
184,joe
182,jan
74,jak
204,hbwstair
174,estair
187,bwstair
165,joe
195,hbwstair
209,jak
201,test-1-nps
197,bil
184,ebwstair
73,estair
142,jak
167,ebwstair
139,shbwstair
44,bwstair
182,hbwstair
127,hbwstair
230,ebwstair
115,bil
109,estair
69,stair
90,shbwstair
87,noa
161,hang
210,mat
67,jan
61,estair
173,shbwstair
76,jan
183,bwstair
180,bil
51,hang
53,test-1-nps
99,test-1-nps
124,bil
169,jak
178,mat
120,mat
216,hang
122,bwstair
137,bwstair
197,noa
234,estair
69,mat
177,jan
71,jan
156,test-1-nps
117,stair
135,shstair
66,stair
193,hang
70,hbwstair
193,bwstair
200,shbwstair
154,bwstair
57,bil
213,hstair
140,ebwstair
67,estair
135,bwstair
233,jan
231,hbwstair
158,joe
74,estair
234,jan
123,noa
226,ebwstair
91,hang
167,stair
204,stair
178,noa
173,shstair
154,stair
164,hang
104,bwstair
115,jan
153,jan
180,hang
52,estair
165,bwstair
151,mat
201,estair
120,noa
238,hang
62,hbwstair
150,jak
69,hang
117,estair
111,mat
229,hang
179,mat
33,estair
119,shstair
230,mat
124,noa
109,shstair
118,joe
92,bwstair
35,hang
40,hang
167,hang
181,hstair
141,bwstair
33,jan
207,jan
234,mat
147,hbwstair
36,noa
160,noa
189,bwstair
186,jak
44,jan
176,ebwstair
141,estair
43,estair
210,bwstair
186,ebwstair
95,hstair
46,bil
111,ebwstair
150,bwstair
155,stair
172,hbwstair
160,jan
132,mat
30,hang
74,noa
111,mat
225,hstair
95,stair
91,noa
191,jan
75,jak
147,hstair
131,jak
150,hbwstair
147,mat
46,bil
96,jak
216,estair
144,shbwstair
63,joe
58,jan
215,jan
140,shstair
189,hang
186,jak
102,stair
133,hang
146,hang
196,jan
231,estair
99,estair
145,mat
142,hang
209,hstair
87,hbwstair
238,noa
95,shstair
98,bil
168,bil
192,joe
191,noa
235,ebwstair
137,hbwstair
34,ebwstair
124,hang
198,ebwstair
188,hstair
85,mat
110,ebwstair
78,jak
51,bil
33,noa
44,noa
62,hstair
174,hbwstair
190,hang
179,test-1-nps
54,estair
32,ebwstair
99,jan
231,shstair
37,stair
44,joe
86,hstair
57,jan
216,estair
178,hang
122,ebwstair
203,noa
57,test-1-nps
161,ebwstair
147,hang
234,mat
217,jan
94,ebwstair
115,bwstair
104,test-1-nps
212,jan
167,ebwstair
150,hang
67,bwstair
214,noa
64,ebwstair
64,estair
49,stair
207,shstair
179,shstair
56,shbwstair
93,stair
186,mat
101,stair
104,hstair
116,test-1-nps
93,hbwstair
205,ebwstair
197,bwstair
223,stair
143,noa
180,hbwstair
91,test-1-nps
214,stair
33,shstair
238,jak
148,jan
203,estair
197,mat
237,shbwstair
79,stair
234,jak
162,jak
210,jak
149,bwstair
96,jan
37,mat
175,mat
33,test-1-nps
225,shbwstair
80,joe
120,estair
106,joe
67,bil
211,stair
161,bwstair
80,hang
224,hbwstair
88,hbwstair
176,stair
50,noa
138,bil
141,ebwstair
204,jan
205,mat
139,hbwstair
193,estair
179,shstair
108,hang
103,bwstair
109,test-1-nps
216,stair
182,shbwstair
53,bil
62,jak
115,bwstair
101,shbwstair
103,jan
124,bwstair
178,stair
172,mat
211,bwstair
183,bwstair
62,estair
155,hang
36,joe
166,estair
96,jan
186,shbwstair
83,shstair
