len,pattern
169,shbwstair
130,hang
153,hang
50,stair
211,hstair
80,hbwstair
62,ebwstair
166,joe
62,hstair
216,bwstair
188,joe
65,mat
209,shbwstair
141,hbwstair
211,ebwstair
183,mat
194,jak
227,test-1-nps
102,mat
236,shstair
106,joe
78,joe
106,stair
214,hstair
155,bwstair
185,shbwstair
73,estair
201,joe
94,hang
144,shstair
87,test-1-nps
95,joe
182,estair
116,bwstair
82,ebwstair
123,bil
87,joe
205,ebwstair
46,test-1-nps
224,jan
51,jan
55,joe
140,bil
71,jak
189,shbwstair
39,jak
89,hbwstair
35,bwstair
124,shbwstair
164,hang
50,jak
152,jak
88,hbwstair
181,ebwstair
209,jak
215,hbwstair
221,ebwstair
122,shbwstair
168,shbwstair
70,joe
220,stair
35,joe
176,ebwstair
41,joe
69,hbwstair
141,test-1-nps
149,ebwstair
175,bil
99,hbwstair
193,stair
129,shstair
43,joe
89,stair
40,joe
229,hang
124,noa
