len,pattern
106,hang
48,estair
160,ebwstair
190,hang
224,noa
212,test-1-nps
192,ebwstair
121,hstair
188,estair
162,shstair
236,ebwstair
54,hbwstair
71,noa
129,estair
48,shbwstair
47,stair
82,shstair
190,shstair
167,estair
86,hang
238,mat
46,test-1-nps
79,joe
184,jan
90,mat
79,estair
67,stair
46,ebwstair
98,stair
97,test-1-nps
121,shbwstair
188,bil
106,mat
198,jan
205,hang
42,hbwstair
72,hang
72,bwstair
156,hstair
39,mat
125,joe
68,ebwstair
42,bil
161,jan
31,mat
101,test-1-nps
112,jan
76,test-1-nps
120,mat
68,shstair
49,jak
189,test-1-nps
115,estair
208,jak
152,bwstair
62,test-1-nps
98,hstair
154,joe
181,jan
189,test-1-nps
62,test-1-nps
96,hbwstair
176,hbwstair
195,jan
35,hbwstair
215,ebwstair
66,hang
198,hang
88,hbwstair
146,mat
172,mat
145,hstair
31,shbwstair
81,bwstair
34,noa
216,test-1-nps
58,ebwstair
177,bwstair
107,hang
40,test-1-nps
74,joe
220,hstair
106,mat
100,test-1-nps
97,joe
108,shstair
40,noa
131,shstair
82,bil
62,jak
35,hbwstair
64,shbwstair
189,noa
196,mat
234,shbwstair
185,hang
80,jak
158,mat
114,hstair
114,shbwstair
183,noa
154,jan
146,ebwstair
123,hbwstair
227,jan
73,noa
96,test-1-nps
108,jak
98,shbwstair
114,shstair
93,ebwstair
131,bil
64,shstair
55,jan
101,noa
56,hbwstair
94,hstair
148,mat
107,estair
38,joe
39,ebwstair
213,bwstair
102,ebwstair
167,shbwstair
166,jan
84,shbwstair
173,test-1-nps
229,stair
135,jak
126,shstair
97,estair
171,mat
153,noa
219,jak
185,hbwstair
116,estair
134,hbwstair
198,mat
43,estair
68,test-1-nps
198,estair
234,joe
75,hstair
124,ebwstair
53,stair
191,test-1-nps
81,jan
54,mat
109,noa
48,bwstair
129,joe
150,mat
131,test-1-nps
168,hbwstair
148,stair
220,bil
214,shbwstair
110,noa
180,shstair
102,noa
155,test-1-nps
207,test-1-nps
91,bwstair
114,jan
226,hstair
176,estair
104,shstair
165,bwstair
89,noa
106,joe
101,jak
207,stair
223,hstair
232,shstair
102,jak
67,noa
40,shbwstair
128,mat
212,joe
160,ebwstair
100,hang
235,ebwstair
144,hang
118,estair
169,noa
88,joe
101,test-1-nps
204,joe
137,jak
181,shstair
76,jak
66,joe
122,test-1-nps
135,ebwstair
145,joe
92,mat
55,mat
98,bil
94,jan
101,jan
75,ebwstair
177,test-1-nps
117,shbwstair
196,shbwstair
127,test-1-nps
227,shstair
217,shstair
192,hbwstair
32,hang
82,stair
176,hstair
128,bwstair
124,estair
150,hstair
209,ebwstair
103,hang
42,hang
212,shbwstair
95,noa
236,stair
33,estair
206,bwstair
107,test-1-nps
163,hstair
39,bwstair
200,jak
236,estair
105,bwstair
36,test-1-nps
197,joe
47,jak
211,jak
147,hstair
172,hstair
230,mat
117,bwstair
98,test-1-nps
214,stair
169,stair
103,jan
156,hbwstair
204,hang
215,estair
167,bwstair
123,hang
147,estair
67,jan
230,bil
163,shbwstair
86,bwstair
235,hstair
132,ebwstair
56,stair
51,estair
56,bil
56,hbwstair
200,bil
105,jan
176,ebwstair
46,jak
102,estair
62,hbwstair
74,shstair
101,hang
200,hbwstair
170,bil
48,noa
196,bwstair
185,hstair
43,jak
161,jan
200,jak
203,mat
83,bwstair
172,bil
72,hang
157,test-1-nps
215,shbwstair
114,shbwstair
189,jan
119,noa
184,hstair
219,stair
88,ebwstair
39,shbwstair
140,bwstair
105,hang
121,hbwstair
133,joe
95,jan
87,mat
51,ebwstair
104,test-1-nps
151,bwstair
136,hbwstair
37,hstair
238,bil
153,jak
93,bil
215,jan
229,ebwstair
111,mat
215,noa
59,bwstair
138,hstair
126,stair
67,hang
109,ebwstair
75,test-1-nps
211,jak
37,bwstair
58,noa
217,mat
194,estair
171,noa
209,hang
134,bil
194,hbwstair
219,bil
149,joe
152,mat
81,estair
56,mat
111,jak
154,ebwstair
120,joe
231,hbwstair
51,hbwstair
57,bil
193,joe
128,estair
138,bwstair
156,shbwstair
44,jan
224,ebwstair
129,estair
134,jak
134,test-1-nps
217,mat
78,shbwstair
71,hbwstair
236,test-1-nps
220,hang
46,bil
230,estair
130,hbwstair
197,hbwstair
148,hang
158,jak
36,jan
199,jan
91,jan
133,ebwstair
140,test-1-nps
145,hstair
171,ebwstair
136,bwstair
213,jan
78,stair
182,hstair
156,jak
173,hstair
106,test-1-nps
158,bil
68,hang
228,bil
194,hstair
161,ebwstair
96,bil
50,shstair
137,shbwstair
214,shbwstair
100,noa
133,stair
35,hbwstair
90,hstair
178,jak
153,bwstair
41,mat
171,noa
54,stair
112,joe
177,mat
50,hang
227,mat
44,shbwstair
102,ebwstair
47,estair
90,bwstair
85,hang
213,stair
123,shbwstair
37,jak
90,jan
174,hang
34,hbwstair
227,jan
209,shstair
179,mat
85,bil
72,jak
234,hstair
223,hbwstair
32,test-1-nps
44,shbwstair
211,jan
50,bwstair
79,stair
178,ebwstair
98,joe
120,mat
90,jan
131,shbwstair
61,hstair
59,mat
76,hstair
174,jan
45,ebwstair
44,test-1-nps
143,noa
180,shstair
162,hang
90,hang
222,joe
110,bil
142,jak
202,hstair
121,mat
191,jak
140,hbwstair
111,joe
109,hang
65,hstair
126,ebwstair
196,hbwstair
177,estair
48,ebwstair
142,joe
98,bil
230,hbwstair
104,hang
75,jak
229,bwstair
181,bwstair
50,hbwstair
67,shstair
163,bwstair
193,hstair
235,bwstair
134,shbwstair
40,jak
109,hstair
33,bwstair
192,hbwstair
200,noa
34,estair
56,bil
178,estair
69,noa
34,noa
73,jak
67,shbwstair
232,shstair
141,estair
228,joe
154,hbwstair
136,hstair
146,hstair
