len,pattern
80,mat
131,shbwstair
44,joe
112,noa
238,ebwstair
103,hstair
195,ebwstair
183,mat
95,jak
159,hstair
198,jak
86,stair
223,hstair
163,bwstair
62,noa
173,estair
67,joe
147,noa
48,stair
182,shstair
60,test-1-nps
148,noa
99,stair
47,noa
188,jak
191,noa
31,shstair
69,noa
239,estair
149,noa
237,shbwstair
45,hstair
178,shstair
104,jan
48,shstair
81,shstair
82,test-1-nps
59,hang
96,ebwstair
104,hstair
85,hang
62,jak
227,hang
46,ebwstair
153,noa
98,noa
83,noa
76,hang
137,joe
140,test-1-nps
88,estair
231,estair
81,noa
166,hbwstair
239,jan
136,noa
235,jan
104,hbwstair
47,bil
200,jak
123,shbwstair
189,mat
126,noa
204,jan
200,shbwstair
60,hang
187,bil
139,stair
186,joe
228,joe
75,jak
166,bwstair
201,jak
97,jak
109,hang
66,bil
144,test-1-nps
