len,pattern
173,hstair
152,ebwstair
47,ebwstair
235,mat
92,joe
232,joe
133,hbwstair
83,estair
106,mat
171,hbwstair
165,estair
171,shbwstair
158,estair
143,test-1-nps
224,hstair
84,mat
112,hbwstair
111,joe
30,bwstair
157,mat
191,bwstair
219,bil
143,mat
43,hstair
210,bwstair
170,estair
125,mat
141,stair
56,hang
135,shstair
41,test-1-nps
37,joe
190,hstair
86,bil
215,bil
67,jan
193,joe
214,estair
82,shstair
131,mat
98,hstair
121,estair
182,hang
49,mat
52,jan
173,hang
80,estair
115,shbwstair
185,jak
137,shstair
168,estair
72,bwstair
72,hang
60,jak
147,stair
82,jan
103,mat
132,hbwstair
149,mat
93,hstair
114,mat
51,hang
36,joe
146,stair
208,stair
197,estair
161,shbwstair
142,hstair
44,estair
66,jak
136,mat
233,mat
131,test-1-nps
196,bil
45,noa
74,test-1-nps
167,shstair
93,stair
218,hstair
99,jak
39,noa
225,mat
90,hang
223,ebwstair
189,hstair
150,estair
132,mat
137,ebwstair
93,hstair
200,hstair
149,estair
111,ebwstair
74,estair
50,joe
81,ebwstair
33,estair
230,bil
222,stair
226,hang
63,bwstair
116,bwstair
233,jan
120,shstair
177,mat
238,mat
129,test-1-nps
219,shstair
235,stair
186,test-1-nps
84,shstair
89,hbwstair
200,shbwstair
102,hbwstair
74,hstair
196,joe
181,jan
31,hbwstair
162,jak
158,hstair
46,jak
162,shbwstair
82,jak
139,noa
125,joe
161,hbwstair
195,shstair
168,stair
66,hstair
198,hbwstair
107,hang
139,hstair
53,test-1-nps
189,shstair
201,jan
78,shbwstair
218,shstair
129,hang
56,hbwstair
134,bil
56,joe
76,bwstair
215,mat
239,hbwstair
74,bil
117,joe
187,hang
189,hstair
58,ebwstair
230,ebwstair
50,mat
109,test-1-nps
128,ebwstair
239,joe
86,shbwstair
125,shstair
142,noa
218,estair
36,stair
105,bil
230,hang
105,shbwstair
207,estair
120,test-1-nps
65,jan
219,jak
182,jak
69,hbwstair
42,shbwstair
110,hbwstair
201,jak
225,bil
88,shstair
173,noa
150,hstair
123,bil
106,joe
50,ebwstair
132,shstair
93,jak
152,shstair
163,mat
189,jan
130,hbwstair
43,shbwstair
154,shstair
134,noa
91,ebwstair
182,jak
129,jan
225,shbwstair
239,hbwstair
114,bil
156,bwstair
236,hstair
65,stair
239,ebwstair
128,hstair
80,noa
52,stair
37,stair
45,shstair
47,test-1-nps
95,ebwstair
128,bil
33,hbwstair
233,estair
118,noa
62,hstair
95,shstair
78,jan
121,hbwstair
178,mat
112,shbwstair
89,joe
199,hstair
216,hbwstair
138,bwstair
232,hang
172,hstair
219,bwstair
133,jan
172,bwstair
221,estair
78,mat
37,estair
189,jan
160,mat
82,joe
131,shbwstair
139,hstair
184,test-1-nps
64,hstair
49,test-1-nps
179,bil
181,shbwstair
213,jan
146,hstair
49,ebwstair
65,jak
96,jan
30,test-1-nps
107,joe
192,jan
116,hstair
68,shstair
74,mat
234,hstair
130,shstair
210,bil
141,stair
222,jan
138,stair
142,shstair
206,estair
33,noa
159,test-1-nps
80,hbwstair
46,hstair
139,shbwstair
210,mat
207,noa
71,shbwstair
193,joe
94,stair
204,shstair
39,ebwstair
216,joe
127,shbwstair
184,ebwstair
80,shstair
119,hstair
145,bil
82,stair
104,hstair
137,mat
155,shbwstair
32,shbwstair
60,ebwstair
217,noa
230,hbwstair
228,noa
206,ebwstair
171,shstair
84,stair
149,test-1-nps
219,bil
191,stair
158,stair
105,bwstair
68,mat
233,noa
64,noa
69,hbwstair
102,mat
74,bil
152,jak
199,jak
235,jan
169,hstair
79,test-1-nps
122,bwstair
197,ebwstair
178,noa
119,test-1-nps
217,stair
235,ebwstair
85,ebwstair
44,hbwstair
89,bwstair
149,hbwstair
182,hang
31,mat
215,jan
44,bwstair
97,hang
200,bil
107,hstair
148,noa
71,jak
119,hstair
53,stair
185,shbwstair
167,bil
43,jan
191,ebwstair
90,stair
32,joe
98,estair
147,mat
93,mat
57,hang
132,shstair
197,jan
113,hstair
119,mat
212,noa
136,bil
200,joe
138,mat
106,shstair
133,ebwstair
30,shbwstair
161,shbwstair
31,joe
153,stair
195,hang
184,jan
112,hbwstair
207,joe
43,test-1-nps
235,ebwstair
35,bil
77,ebwstair
176,noa
114,shstair
200,mat
120,ebwstair
179,jak
88,jan
94,jan
162,noa
168,noa
232,ebwstair
40,hstair
233,jak
163,jan
208,bwstair
237,hbwstair
106,jan
92,bil
229,hbwstair
32,estair
197,noa
228,noa
187,stair
65,ebwstair
41,noa
104,test-1-nps
73,stair
74,hbwstair
30,hbwstair
85,stair
157,jan
157,shbwstair
181,hang
46,shbwstair
236,hbwstair
32,hstair
225,jan
196,hstair
103,shbwstair
181,shbwstair
92,ebwstair
40,hbwstair
83,stair
223,shstair
100,ebwstair
48,joe
48,ebwstair
152,hang
130,bwstair
217,shbwstair
58,shbwstair
212,shstair
55,shbwstair
80,joe
203,noa
146,noa
203,bil
99,test-1-nps
51,jak
169,bil
217,hbwstair
46,stair
211,jan
146,bil
146,stair
86,bil
58,hbwstair
35,mat
182,noa
221,hstair
155,estair
173,test-1-nps
71,mat
155,noa
83,stair
79,hbwstair
141,joe
121,hang
98,hbwstair
55,bwstair
230,ebwstair
239,hbwstair
159,estair
113,hstair
161,jak
100,shstair
128,estair
160,jan
61,stair
112,shbwstair
167,shstair
83,joe
113,test-1-nps
155,bil
201,joe
90,hbwstair
155,joe
78,test-1-nps
124,hstair
50,test-1-nps
230,stair
90,jan
74,stair
119,mat
166,ebwstair
67,mat
111,shbwstair
154,hang
117,noa
174,shbwstair
98,noa
200,estair
181,mat
202,stair
168,ebwstair
216,hang
115,joe
162,hbwstair
211,joe
30,mat
119,shbwstair
204,ebwstair
141,shstair
183,noa
194,bil
50,test-1-nps
33,bil
78,jak
190,bil
221,estair
173,hbwstair
107,hstair
209,test-1-nps
189,ebwstair
206,shbwstair
210,estair
204,jak
147,mat
42,jan
86,shbwstair
211,estair
231,shstair
162,ebwstair
109,jak
234,mat
86,joe
111,shbwstair
41,mat
226,test-1-nps
31,mat
117,hbwstair
35,joe
76,noa
53,bwstair
201,shbwstair
128,shstair
195,bil
89,bwstair
180,joe
181,test-1-nps
37,test-1-nps
146,hbwstair
36,jak
158,bil
239,hbwstair
180,jak
90,noa
116,test-1-nps
150,bwstair
109,shstair
119,test-1-nps
87,estair
208,stair
47,jan
182,shstair
48,jak
205,joe
134,bwstair
162,stair
30,stair
200,hstair
92,shbwstair
159,hstair
233,hbwstair
86,bil
107,jak
204,ebwstair
209,test-1-nps
201,jak
86,jan
217,bil
238,stair
136,hstair
76,jak
204,jak
115,hbwstair
138,estair
112,estair
116,mat
235,hang
153,jan
56,mat
239,jak
90,hang
103,test-1-nps
168,mat
228,jan
204,test-1-nps
186,ebwstair
196,noa
115,jan
129,estair
229,stair
131,jan
106,shstair
109,joe
155,jak
218,test-1-nps
160,shbwstair
224,hstair
108,hstair
120,mat
107,hstair
170,estair
56,estair
148,noa
86,hang
219,jak
40,joe
184,estair
153,hang
32,mat
227,joe
140,hang
226,hstair
152,hstair
140,jan
195,stair
182,mat
53,jan
191,jan
169,mat
225,hstair
200,jan
41,bwstair
213,test-1-nps
171,bwstair
229,shstair
205,noa
78,estair
136,mat
212,hbwstair
42,mat
156,hang
108,shbwstair
201,ebwstair
196,mat
148,jan
185,test-1-nps
160,shstair
130,bil
220,bwstair
114,hstair
39,hstair
156,shbwstair
191,ebwstair
32,joe
112,hang
180,shstair
125,hbwstair
176,shbwstair
223,test-1-nps
176,stair
229,noa
178,hang
209,shbwstair
205,jak
175,hbwstair
54,shbwstair
101,bwstair
181,mat
68,hbwstair
118,jan
150,hang
220,shstair
121,noa
139,bil
172,jak
85,shstair
172,hstair
233,mat
135,jan
105,bil
66,jak
96,test-1-nps
202,ebwstair
147,shstair
142,jan
101,mat
81,joe
225,estair
61,noa
200,estair
73,estair
232,bil
143,hstair
177,hbwstair
149,bil
112,jan
179,mat
185,jan
171,hstair
180,noa
163,hang
137,joe
200,jan
147,jak
89,shbwstair
72,hbwstair
51,jak
155,ebwstair
107,jak
201,hang
36,jan
33,hang
182,estair
55,hbwstair
130,stair
165,jan
205,jak
90,jan
102,mat
170,bil
131,hang
170,estair
175,stair
108,joe
236,stair
141,test-1-nps
145,estair
213,hbwstair
128,joe
224,shstair
159,jan
227,shstair
60,jak
151,estair
182,jan
202,bwstair
135,estair
211,shstair
108,shbwstair
229,joe
172,jan
142,ebwstair
230,estair
231,noa
94,estair
34,noa
194,hstair
90,bil
180,stair
73,mat
174,hang
236,shstair
151,hang
130,hang
237,mat
216,stair
33,jan
78,bwstair
150,noa
76,stair
109,shbwstair
190,estair
56,shbwstair
49,jak
162,ebwstair
175,hbwstair
170,noa
174,shstair
52,joe
182,ebwstair
164,noa
50,ebwstair
66,test-1-nps
167,joe
89,stair
106,shbwstair
108,bil
210,bwstair
233,estair
80,hstair
81,stair
127,jan
96,bil
36,bil
103,stair
64,hstair
204,mat
41,hbwstair
166,jak
140,shstair
199,test-1-nps
184,jak
30,stair
62,bwstair
34,bwstair
225,bil
235,jan
201,joe
231,bwstair
178,noa
222,bil
183,stair
97,mat
177,hang
164,hang
126,hstair
210,hbwstair
192,stair
70,bil
84,shstair
220,jak
154,hang
70,bil
231,joe
60,hstair
209,bil
156,shbwstair
230,mat
228,ebwstair
97,hang
92,joe
233,ebwstair
49,jan
169,ebwstair
217,shstair
127,hbwstair
42,bil
97,noa
87,shbwstair
174,shbwstair
108,bil
140,noa
71,test-1-nps
182,hbwstair
66,bil
111,bil
212,shstair
128,hbwstair
38,bwstair
225,hang
215,test-1-nps
181,shbwstair
231,bwstair
181,bil
152,joe
47,bwstair
165,bil
150,hstair
97,bil
215,jan
67,shbwstair
96,hstair
83,estair
238,estair
112,hstair
134,noa
192,ebwstair
71,joe
232,shstair
230,mat
202,ebwstair
111,hang
201,mat
40,hstair
122,shstair
135,shstair
104,jan
161,hstair
169,bil
78,hstair
186,shbwstair
104,jan
41,jan
185,joe
35,bwstair
209,hang
47,shstair
48,jak
218,hang
184,mat
160,shbwstair
96,mat
208,ebwstair
192,stair
47,hang
56,noa
50,bil
151,shstair
165,hstair
219,shbwstair
214,test-1-nps
175,jak
153,ebwstair
219,test-1-nps
209,estair
36,estair
126,stair
44,bil
172,joe
97,jak
213,jak
79,joe
175,stair
74,joe
65,joe
108,bil
158,jan
194,hstair
155,jan
154,hstair
172,noa
184,hang
162,hang
221,hang
116,jak
173,bil
95,hstair
147,estair
109,test-1-nps
52,noa
159,stair
71,jak
55,jan
54,bil
115,bil
44,hang
198,test-1-nps
57,test-1-nps
145,noa
117,joe
144,joe
132,hstair
184,test-1-nps
107,hbwstair
49,jak
94,test-1-nps
131,mat
45,hbwstair
38,test-1-nps
55,stair
199,shbwstair
140,estair
58,ebwstair
108,hang
45,hstair
173,jan
105,noa
171,bwstair
103,shstair
116,shstair
187,hbwstair
123,hang
53,ebwstair
235,joe
104,shbwstair
209,shstair
133,shbwstair
232,estair
93,ebwstair
228,test-1-nps
66,hang
59,hbwstair
103,joe
60,stair
143,hbwstair
173,joe
135,hang
54,ebwstair
232,estair
136,shbwstair
60,hstair
104,jan
187,shstair
202,mat
179,hbwstair
110,mat
57,hbwstair
129,shbwstair
155,hang
115,shbwstair
133,hang
31,bil
161,test-1-nps
123,hbwstair
102,test-1-nps
167,jan
171,hang
117,shbwstair
157,shbwstair
169,estair
158,shstair
103,stair
217,shbwstair
228,bil
154,shbwstair
205,bil
160,bil
54,ebwstair
194,mat
169,stair
56,mat
140,test-1-nps
32,hbwstair
131,ebwstair
33,estair
227,hang
167,hang
217,bwstair
105,hstair
184,noa
57,hang
239,stair
58,estair
199,bil
190,hang
54,bwstair
202,joe
178,hstair
35,bil
46,jan
110,noa
68,hbwstair
232,test-1-nps
120,mat
122,hbwstair
133,shbwstair
190,hang
106,shbwstair
96,stair
96,bwstair
153,test-1-nps
30,jak
211,jak
161,hbwstair
223,jan
126,estair
105,shbwstair
35,jak
186,joe
35,bil
127,shstair
208,test-1-nps
95,hbwstair
46,joe
50,bil
179,bil
160,stair
129,hstair
82,hstair
225,hbwstair
38,hstair
77,joe
230,jak
127,mat
